,title,category,intro,url
63,"소중한 반려동물, 펫 유산균으로 챙기는 장 건강",반려동물,"알고계셨나요? 반려동물 장 건강 곧 면역력이라는 것을.
[투입균 240억, 강한 유산균]
",https://tumblbug.com/arana
64,MZ세대의 진로 고민 워크북 <그래서 난 뭐하지?>,출판,취업은 포기했다! 그런데 내 인생은 어쩌지? 그래서 난 뭐하지? MZ세대 진로 고민 워크북,https://tumblbug.com/happy_carrerlife
65,반전매력! 순수하고 음란한 연인들의 앤디카드,보드게임 · TRPG,"알면서 모르는 척 하는 연인들을 위해 미친 수위를 자랑하는 질문 모음, 앤디카드",https://tumblbug.com/andycard
66,웹툰 필수 등장 배경! 다양한 디자인의 복도 총출동!,웹툰 리소스,다양한 판타지 디자인의 복도를 만나보세요!,https://tumblbug.com/egg_sk
67,"<마담 보바리>, 이브 생로랑의 옷을 입다.",출판,"작가탄생200주년, 이브생로랑 삽화와 필사본 수록된 <마담 보바리>특별판 국내 첫 제작! ",https://tumblbug.com/httpsurlkrph95ky
68,"세레노 정규 5집, MY WAVES",음악,"세레노 정규 5집, MY WAVES",https://tumblbug.com/sereno5
69,모두의 추리로 완성되는 마피아 게임 [죄수들의 밤] ,보드게임 · TRPG,"사회자없이 플레이어들의 추리로 진행하는 마피아 게임, [죄수들의 밤]입니다",https://tumblbug.com/prisoner
70,마음이 비치는 { 이음 우체국 },디자인 문구,"엽서북, 스티커, 박 티켓, 포스터 등 이음 우체국의 굿즈를 소개합니다.",https://tumblbug.com/ieumpostoffice
71,하얗고 포근한 눈을 닮은 살냄새 향수 <스노이> ,향수 · 뷰티,조향사가 만드는 향 브랜드 플라디비의 첫번째 향수 출시! 이 겨울에 꼭 뿌려주세요,https://tumblbug.com/pladib_snowy
72,[배경키트X스냅툰] 웹툰 로판 대저택 세트,웹툰 리소스,판타지에 유용하게 쓰일 수 있는 3D 웹툰 리소스입니다.,https://tumblbug.com/211104
73,"새로운 한해를 꽃향기로 채워줄, 베스트 오프 파나마 게이샤",푸드,감미롭고 진한 꽃향기를 지닌 게이샤 커피와 함께 새로운 한해를 여유롭게 맞이해보세요.,https://tumblbug.com/threedaysbeanleridageisha
74,포토샵과 일러스트레이터로 세상 모든 굿즈 만들기,출판,포토샵과 일러스트레이터로 세상 모든 굿즈 만들기 전자책 PDF ,https://tumblbug.com/everygoods
75,스케치업 자연물 3종,웹툰 리소스,스케치업을 이용해 자연물을 표현하였습니다.,https://tumblbug.com/dfsfsd
76,"안기고 싶도록 따뜻한 향기, 니티허그 향수",향수 · 뷰티,"포옹을 닮은 니트의 향, 니티허그",https://tumblbug.com/hugperfume
77,앙큼한 소녀들의 필수템! 핑크빗치클럽 6공 다이어리 패키지,디자인 문구,핑비클 팸 취향 저격! 앙큼한 소녀들의 갓생을 책임질 6공 다이어리와 굿즈들,https://tumblbug.com/vivinos
78,북디자이너와 함께하는 <내책 만들기 나의 워크북>,출판,"<내책 만들기, 나의 워크북>은 자신의 책을 스스로 만들고 싶은 분들을 위한 워크북입니다.",https://tumblbug.com/makemybook
79,"따뜻하고 아름다운 힐링 판타지, <소원을 이루어주는 섬>",출판,행복의 섬을 찾아가는 각기 다른 아픔을 가진 이들의 이야기,https://tumblbug.com/hiddenisland
80,"악몽을 먹어드릴게요, '불가살' 중치막 로브",의류,"잠옷으로도, 외출복으로도. 전설의 동물 '불가사리'의 자수를 수놓은 한복형 멀티 라운지웨어",https://tumblbug.com/bulgasari
81,나 요즘 어떻게 지내? 나에게 답하다. <셀프카운슬링북>,출판,'나'를 잊고 살아가는 나에게 Self Counseling Book으로 나를 찾아주세요.,https://tumblbug.com/selfcounselingbook
82,여성의 공포와 불안을 쓰다,출판,100여 년 전 여성 작가가 쓴 공포소설 5편을 오늘의 여성 번역가 5명이 옮겼습니다. ,https://tumblbug.com/boooook_h
83,후가공 박을 한 곳에 담다! 2022 쿠르즈 컬러 시스템,디자인,"박가공 디자이너의 필수 디자인 도서!
대한민국 박컬러가 95%이상 담긴 호일 컬러 샘플북",https://tumblbug.com/kurzcolorsystem
84,동남아 향취를 가득 담은 '미얀마 코코넛밀크 국수' 밀키트,푸드,"커리향 가득한 코코넛밀크 소스에, 맛있는 달걀면을 함께? 간편하게 먹는 진짜 미얀마 음식!",https://tumblbug.com/chilluchillu_1
85,초능력자들이 사는 곳<도시>,디지털 게임,불길하고 새하얀 도시에 초능력자들이 살고 있습니다. 미스터리 어드벤쳐 게임 <도시>,https://tumblbug.com/_dosi
86,몽실몽실 보들보들 <피누&마요> 겨울 콜라보 굿즈,캐릭터 · 굿즈,몽몽스베쮸와 스튜디오 퐁듀의 대표 캐릭터 피누와 마요의 겨울 콜라보레이션!,https://tumblbug.com/pinu_mayo_collab
87,"' 신에게 선택받은, 단 하나의 부족 ' <PRAY>",보드게임 · TRPG,"부족장이 되어, 부족원을 모으고 신에게 제사를 바쳐라!
전략파티 보드게임 <PRAY>",https://tumblbug.com/pray
88,"빛을 따라 기록한, <LIGHT> 엽서북과 아크릴포스터",사진,"어둠부터 밝음까지, 빛이 우리에게 닿던 날들의 기록 <LIGHT : WHERE I AM>",https://tumblbug.com/soosoosoop
89,한 달에 300만원 네이버 카페로 평생 월세받기,출판,네이버 카페로 평생 월 300만원 월세 받는 노하우를 담은 책 ,https://tumblbug.com/navercafebook
90,2022년 나와의 약속을 각인시켜 줄 '작심반지' ,주얼리,나만의 결심을 이루기 위해 그 목표와 기한을 반지에 각인해 마음을 다잡는 건 어떨까요? ,https://tumblbug.com/oneuleun
91,"매일 손이 가는 한복, '라빔 마고자& 단청바지'",의류,"[설 전 배송] 집콕, 출근, 캠핑/여행 어디서든 편하게! '양면 마고자& 단청자수 바지'",https://tumblbug.com/ranemagoja
92,"누가 왕이 될 상이냐, <일월오봉도> 페이퍼 아트 액자",홈 · 리빙,누가 왕이 될 상이냐! 페이퍼 아트로 탄생한 입체 <일월오봉도> ,https://tumblbug.com/003
93,"미안,.내가 붕어빵 다 먹었다옹. 먹보냥 에어팟케이스",잡화,에어팟에 고양이가 입주했다옹.. 귀여워옹...,https://tumblbug.com/poundcat15
94,이번 겨울 포근하게 안아줄 사과 블렌딩티 <허그미애플티>,푸드,"달콤한 사과와 대추 깔라만시로 맛있고 건강한, 추위 타는 나를 위한 무첨가물 과일 블렌딩티",https://tumblbug.com/hugmeapple
95,나만의 향을 담다 : 스톤디퓨저 [담향],홈 · 리빙,나만의 향을 담는 세라믹 스톤디퓨저,https://tumblbug.com/sang_a_hada
96,"옛 것의 새 활용, 한복 곱창밴드",잡화,가치를 다 하지 못하고 버려지는 한복을 활용한 한복 곱창밴드입니다.,https://tumblbug.com/hanbokscrunchie
97,"로판, 아르누보풍 클립스튜디오 창작 소재 100종",웹툰 리소스,"로판, 아르누보풍 클립스튜디오 창작 소재 100종 (브러쉬, 장식소재, 배경패턴, 이펙트)",https://tumblbug.com/mk04
98,[은목서] 오스만투스 블라썸 '파퓸드블랑',향수 · 뷰티,마릴린 먼로가 사랑했던 '은목서(오스만투스)'의 향기,https://tumblbug.com/pdb_osmanthusblossom
99,"트랜스들의 이야기, [트랜스젠더도 마라탕을 좋아하나요?]",출판,"트랜스젠더 당사자 5명이 직접 이야기 해주는 ""진짜 트랜스 젠더의 삶""이 담긴 인터뷰집.",https://tumblbug.com/translovemara
100,"일러스트, 웹툰을 위한 아르누보풍 유니크 브러쉬",웹툰 리소스,아르누보 베이스의 클립스튜디오 브러쉬입니다. 다양한 소재의 브러쉬를 만나보세요.,https://tumblbug.com/dohwaseo
101,조주(Jojoo) 첫 EP앨범 [지도] 제작 ,음악,"""우리가 떠나는 여행, 지도를 품고서"" _ 조주(Jojoo) 첫 EP앨범 제작",https://tumblbug.com/jojoo
102,"에이미, 끔찍한 악몽의 굴레에서 벗어나게 해줄게!",디지털 게임,<DR3AMy>는 감각적인 사운드와 연출 기반의 1인 개발 심리 스릴러 비주얼노벨입니다.,https://tumblbug.com/dr3amy
103,"크림 도구점의 빨간포션, 파란포션 [Must have!]",푸드,안녕하세요 크림 도구점입니다! 모험을 떠나기 전 필요한 물건들을 판매중입니다! 둘러보세요!,https://tumblbug.com/creamstore
104,"동양을 담은 관능 한방울 ""오리엔탈 로즈&베일""향수",향수 · 뷰티,환상적인 세계에 스며드는 관능 한방울. 오리엔탈로즈&베일 오 드 퍼퓸을 만나보세요.,https://tumblbug.com/seili_oriental
105,이 한정판 구성은 지금뿐. <제자와 연인 사이>,출판,<제자와 연인 사이> 한정판 단행본.,https://tumblbug.com/carbo_romance_novel
106,"음양사 아베노 세이메이의 비전, 점사략결의 최초 완역본",출판,음양사 아베노세이메이의 비급 점사략결,https://tumblbug.com/onmyodo
107,제주 바닷가 작은 집 이야기 <윤시 아야>,사진,"자라는 아이의 시간을 담은 아빠 엄마의 이야기, 아이를 만나 빛나고 그리울 시간들의 기록.",https://tumblbug.com/413_1218
108,"세상에 남기는 나의 마지막 기록, 유서 노트",출판,회고와 죽음에 관한 질문에 답하고 유서를 작성하는 노트입니다.,https://tumblbug.com/si-dam
109,전설의 체스 그랜드마스터 카파블랑카의 책 '체스의 기본',출판,전설적인 체스 그랜드마스터이자 제3대 체스 세계 챔피언 카파블랑카가 쓴 체스 책,https://tumblbug.com/capablanca
110,"지금 이 순간의 감정을 담은 다이어리, <EMO-MENT>",디자인,"나도 나를 모르겠어! 생각이 많아도 너~무 많은 
'프로 감정기복러'를 위한 필수 아이템",https://tumblbug.com/emo-ment
111,카페에서 다각도로 사용가능한 엑스트라입니다.,웹툰 리소스,후원 금액을 낮추었습니다.,https://tumblbug.com/toy3013
112,목포 바다를 지켜요 ! 100% 국내 리사이클링 나들이가방,잡화,"100% 국내 리사이클링 나들이 가방! 앞면 캔버스, 뒷면 메쉬, 수익금으로 바다청소! ",https://tumblbug.com/small_action
