,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
3534,"나의 스트릿 고양이 친구들, 와썹캣","3,020,100",604,"500,000",174명
3535,좋은생리대 알리기 프로젝트 - 바디앤코튼 기획전,"6,030,000",603,"1,000,000",117명
3536,"소중한 반려동물, 그 모습 그대로 맞춤제작 피규어","3,014,000",602,배송 완료,20명
3537,본질에 충실한 앞치마 'ist lab',"6,028,000",602,배송 완료,76명
3538,위스키와 초콜릿의 로맨틱한 만남(feat.위스키파베),"6,025,000",602,"1,000,000",124명
3539,범인은 이 안에 있다! 크라임줌,"30,120,550",602,배송 완료,676명
3540,"센스를 배웠더니, 일머리가 돌아갑니다.","6,024,001",602,배송 완료,394명
3541,"묘차가 만든 여름차! 백차 코디얼, 보이차 밀크티","6,020,000",602,배송 완료,118명
3542,"까칠한 나를 위한 맨투맨, 후드티셔츠","4,214,000",602,배송 완료,107명
3543,형 나 불한당원이야 1주년 기념 트리뷰트 룸스프레이&에코백,"9,027,000",601,배송 완료,170명
3544,마나캣의 밤거리 (웹툰 만화 배경 스케치업),"12,035,700",601,"2,000,000",91명
3545,"일상 어느 옷과도 잘 어울리는, '데일리-시티 스웻셔츠'","3,008,000",601,배송 완료,78명
3546,시간을 달리는 아이,"18,044,000",601,"3,000,000",495명
3547,"평범했지만 평범하지않았던 여학생 유관순의 ""매듭보따리가방""","18,043,000",601,배송 완료,454명
3548,(앵콜) 당신께 드리는 작은 선물 '일상의 트렌치코트',"12,027,000",601,배송 완료,203명
3549,A NEW MUSICAL <LUNAR BAY>,"2,405,000",601,"400,000",80명
3550,요즘도시 트렌드 리포트 <뉴노멀시티>,"13,825,333",601,"2,300,000",421명
3551,책으로 떠나는 세계여행 : 명화로 읽는 전염병의 세계사,"1,803,000",601,"300,000",175명
3552,"[인센스 DIY 키트] 명상과 치유의 향기, 마음으로 빚다","3,004,900",600,배송 완료,24명
3553,전국투표전도 2020: 나의 선택을 돕는 국회선거 가이드,"12,016,721",600,배송 완료,504명
3554,<EZ2AC : NIGHT TRAVELER> OST,"60,071,000",600,"10,000,000",625명
3555,[ MUSEUM SEOUL ] 한국 문화유산 큐레이팅,"2,402,100",600,"400,000",481명
3556,타로 카드 설명서 by Goodie,"1,200,468",600,배송 완료,70명
3557,고스트메신저 극장판 블루레이,"60,010,000",600,"10,000,000",728명
3558,전문적인 냥이 지식을 쉽게 만화로 보여주는 '2020달력',"3,000,000",600,"500,000",161명
3559,[유리멘탈 극복 프로젝트] 개복치로 살아남기,"5,997,000",599,"1,000,000",282명
3560,"데일리아이템의 정석 ""실버 귀걸이 kit"" 첫번째 이야기","599,500",599,"100,000",47명
3561,"[수제 도자기,유리빨대] 해양생물과 나, 모두를 위한 빨대","2,996,000",599,배송 완료,123명
3562,픽키의 계란말이와 홍대앞,"599,000",599,"100,000",21명
3563,세월의 흔적을 고스란히 간직한 시골마을,"5,985,000",598,배송 완료,171명
3564,"Stand Oil, 지금 당신에게 가장 잘 어울리는.","5,983,000",598,"1,000,000",73명
3565,웹툰 스케치업 - 장르불문 실속있는 소스모음,"2,990,000",598,배송 완료,130명
3566,"부모님께 올바른 건강을 선물할, 엄마아빠 건강 가이드 북","2,015,800",599,"336,400",312명
3567,'고요하고 푸른 바다의 깊은 선율' 인어와 고래 향수.,"11,944,000",597,배송 완료,187명
3568,GRWM! 우리 같이 준비해요! <봄날의 마고자켓>,"2,986,000",597,배송 완료,39명
3569,[그 마법사가 남기고 간 이야기] - 12월,"597,000",597,"100,000",33명
3570,"시대를 초월한 상징, 아이코닉 워치 북","17,899,000",596,배송 완료,369명
3571,어두운 분위기에 어울리는 자연물 브러쉬,"5,966,000",596,배송 완료,205명
3572,"내 손안의 정원, <My little Green>","2,982,000",596,배송 완료,69명
3573,"일상에 컬러감과 미니멀함을 더할, 투웨이 백 & 파우치","2,981,000",596,"500,000",26명
3574,색 감각을 키우는 컬러 가이드북,"5,961,000",596,배송 완료,146명
3575,어딘가 새로운 [크리스탈],"1,788,000",596,배송 완료,44명
3576,"커밍아웃 에세이 만화책 「있잖아,나」레즈비언이야!","7,146,000",595,배송 완료,348명
3577,"가벼운 피부를 위한 첫걸음, 스트로베리 가든 올인원 크림","5,954,500",595,배송 완료,218명
3578,"[웹툰 스케치업] 현대 무기 ""총"" 시리즈 1회차","3,870,000",595,배송 완료,66명
3579,편집자의 공부를 돕는 책,"11,900,000",595,배송 완료,481명
3580,(투닥토닥) 스케치업 프로젝트 No.18_ 해변포차,"5,950,000",595,배송 완료,170명
3581,임로임의 개인전 <Streaming Life:흘러가는 삶>,"1,784,000",594,배송 완료,75명
3582,"온전히 '나'에게 집중하는 시간, Tea + Me Kit","5,945,300",594,배송 완료,128명
3583,"전통 영세 양조장과 함께 하다, 지게미 비누","2,967,822",593,배송 완료,116명
3584,<한복이야기> 여자한복편 아트북 제작,"11,857,000",592,"2,000,000",439명
3585,도국의 하리랑 에그타르트 '하리 인형' 만들기,"11,857,000",592,"2,000,000",342명
3586,"다가오는 계절, 영화같은 일상을 가져다 줄 도자주얼리","1,777,500",592,배송 완료,27명
3587,미리준비하는 가을감성 블라우스 3종,"2,962,000",592,배송 완료,70명
3588,"내가 택한 배우와 감독으로 영화를, 할리우드 골든 에이지","17,768,000",592,배송 완료,398명
3589,3.1운동 100주년 기념 유관순 열사 '돋을볕 뱃지',"2,516,500",592,"425,000",271명
3590,[스케치업 웹툰 배경] THE BLUE ARENA,"740,000",592,"125,000",74명
3591,"수원에 오면 들러줘요, 825.","5,918,500",591,"1,000,000",81명
3592,판타지와 SF를 위한 폰트,"2,958,700",591,배송 완료,84명
3593,"오일 파스텔로 그린, 자연을 담은 에코백","4,142,000",591,배송 완료,69명
3594,'다정한 온기' 2021패브릭 캘린더,"1,775,000",591,"300,000",49명
3595,함께하면 재밌다! <요즘 재테크 스타터 킷>,"5,915,000",591,배송 완료,225명
3596,녹색의 모든 것 <625> 향수,"5,913,110",591,배송 완료,149명
3597,웹툰용 톡화면 소스!! 자유자재로 변형가능한 톡 대화 화면,"2,955,000",591,"500,000",197명
3598,"강력한 폰트를 찾는다면, '열정그자체'","5,905,303",590,"1,000,000",173명
3599,"은은하게 팡 팡 터지는 상콤달콤함! 스윗 엠브로시아, 석류","5,905,000",590,배송 완료,141명
3600,웹툰상생#16 포토샵에서 대사 수정을 한번에! 대사편집기,"5,905,000",590,배송 완료,173명
3601,"이번 추석에 좀 더 특별하게! 슾햄보다 고등어, 네오피시","5,905,000",590,"1,000,000",67명
3602,[남양주유기견보호소] 유기견의 여름을 함께 할개,"5,902,500",590,"1,000,000",194명
3603,"한개가 아닌 두개, 담수진주 목걸이","2,951,000",590,배송 완료,106명
3604,고양이를 사랑한다면 알아야 할 것들,"5,901,000",590,배송 완료,386명
3605,"우리 모두의 이야기, 완결임박 [사탕껍질이야기] 단행본!","5,900,669",590,"1,000,000",380명
3606,React Seoul Conference 2017,"2,950,000",590,"500,000",191명
3607,"인스타 감성, 바로 사용할 수 있는 매력적인 사진 보정법","2,949,000",589,"500,000",391명
3608,"오래된 것들로, 만듭니다. '옛날간판 마스킹테이프'","5,897,000",589,"1,000,000",327명
3609,향이 드나드는 건물 미니어처 <향돌>,"4,685,589",589,배송 완료,73명
3610,새해에는 시작해요: 실전 시사 <시사로운>,"8,987,000",599,"1,500,000",206명
3611,묘차 : 중국차로 만드는 아이스티와 밀크티,"5,893,000",589,배송 완료,116명
3612,"웹툰 배경 스케치업 판타지, 앤틱스타일 저택, 폐허+@","17,677,000",589,"3,000,000",153명
3613,"한복을 새활용하다, 다시 돌아온 [2021 미니 조선백]","2,946,000",589,배송 완료,47명
