,title,category,description,current_funding_amount,percentage,target_funding_amount,supporter
3356,"너와 나 사이의 우주를 건너, 장애에 대한 인식을 넘어",잡화,"나와 너 사이의 우주를 건너, 장애와 비장애를 뛰어넘는 특별한 디자인 제품",6258600,625,1000000,169
3357,리스쿠키와 뱅쇼 키트로 완성하는 나홀로집에!,푸드,내 손으로 완성하는 뱅쇼와 5가지 초콜릿이 디핑된 리스쿠키로 달콤한 크리스마스를 보내보아요,4067200,625,650000,123
3358,"후드가 달린 니트, 새로운 니트 클래식을 만들다.",의류,니트에 후드가 달렸다고? 새로운 니트 클래식을 만들다.,12502200,625,20003,118
3359,"자연을 품은 SOFF 프리미엄 빈티지 간절기,여름패드",홈 · 리빙,"텀블벅을 통해 자연을 품은 SOFF 프리미엄 빈지티 간절기,여름 패드를 소개합니다.",1249800,624,2002,17
3360,개정판으로 새롭게 돌아온 <인쇄색상 매칭 실무가이드>,출판,모니터와 인쇄색상을 매칭하는 노하우를 공개합니다. 올바른 CMYK변환방법은 보너스입니다.,34357000,624,55059,818
3361,여성이 만든 여성 영화 <돌이키다>,영화 · 비디오,열아홉 명의 여성이 만든 여성 영화,24983600,624,4000000,684
3362,시바의 언어를 새긴 '시바 색깔 양말',잡화,귀여운 시바견의 다양한 몸짓을 다양한 색깔의 양말에 새겼습니다. 정교한 자수 기법으로요!,4370000,624,7003,112
3363,향이 피어오르는 섬 '센트아일랜드 독도 에디션 인센스홀더',홈 · 리빙,자랑스러운 대한민국의 독도를 담은 센트아일랜드 인센스홀더 3번째 시리즈 독도 에디션,6241000,624,1000000,118
3364,Why bear 월넛크림 파우치와 포근한 가을나기,잡화,가을을 맞아 더 보드라운 털을 가지게 된 우리의 와이베어가 월넛크림 파우치 안에 쏙!,5928000,624,9500,141
3365,"내가있잖아, '베지터블 잔'",홈 · 리빙,귀여운 베지터블들이 당신의 하루를 응원하고 위로합니다!,1247000,623,2001,36
3366,내 방에서 만드는 <향수 디자인 키트> 문구 에디션,향수 · 뷰티,키트 박스를 열면 그 곳이 바로 향수 공방. 나만의 이야기를 담은 향수를 만들어 보세요.,12466400,623,20010,195
3367,전통 장석을 현대적으로 재해석한 : 황동 장석 집게,홈 · 리빙,아름다운 의미와 문양이 담긴 장석 -장석을 대표하는 문양을 현대화한 황동 집게,6232000,623,1000000,184
3368,"일상/직장/휴가 때 입기 좋고, 수납이 용이한 포켓셔츠",의류,"일상,직자,휴가 어디서나 입기좋은 '포켓셔츠' 입니다.",6231000,623,10001,171
3369,"""당신의 마음 속 화살은 어디에 있나요?""",주얼리,Hedone Collection- 설렘을 전하는 주얼리,4050000,623,650000,29
3370,"봄을 준비하는 현명한 선택, 머브클로딩의 트렌치코트!",의류,누구에게나 언제 어디서나 잘 어울릴수 있는 트렌치코트를 아주 착한 가격으로 만들었습니다.,12460000,623,20000,211
3371,"비대면 야외 방탈출, <물오름달 열닷새>",디지털 게임,여행과 게임을 동시에 즐기는 관광형 미션 게임 플랫폼.,6226200,622,10009,200
3372,겨울 준비 완료! 집순이의 후리스와 무릎담요,의류,집에서나 밖에서나 제일 편하고 따뜻할 옷 ꈍ◡ꈍ,18675500,622,30024,272
3373,국화차에서 석굴암 한잔 할래요?,홈 · 리빙,우리나라의 아름다운 관광지와 컵홀더의 콜라보레이션입니다.,6219000,621,1000000,48
3374,Still Life: 연세대학교 생활디자인학과 졸업전시,예술,연세대학교 생활디자인학과 2021학년도 제22회 졸업전시회 <Still Life> 입니다.,3109000,621,5006,79
3375,"살아있는 것 만으로도 잘한거야, '띠용 이야기'",웹툰 · 만화,<띠용 이야기>는 당신 주변 어디에나 있을 우울증 환자에 대한 이야기 입니다.,4973000,621,8008,343
3376,"활자 측정 도구, 字—자.",홈 · 리빙,"활자를 측정하는 도구, 아날로그 시대의 대표적인 도구 '자'! 활자를 재는 字-자.",15538000,621,2500000,415
3377,웹툰&일러스트를 위한 고퀼리티 꽃과 과일 브러시,웹툰 리소스,웹툰&일러스트 꽃과 과일 브러시 SET,6212000,621,1000000,225
3378,중세 판타지 대도시 항만,웹툰 리소스,스토리 전개가 대도시로 입항하는 배경을 제작하였습니다.,6210000,621,10000,93
3379,"02travels (포스터북, 엽서북, 스티커팩)",예술,일러스트레이터 02의 여행을 테마로 한 포스터북&엽서북&스티커팩 펀딩입니다.,3104500,620,5007,104
3380,선인장 가죽으로 잘 빚은 '비건 만두백',잡화,"낫아워스에서 두 번째로 선보이는 선인장 가죽 시리즈, 잘 빚은 '비건 만두백' 입니다.",42458600,620,68481,179
3381,유기토끼를 세상에 알리고 응원해! '러브미컵과 그립톡',캐릭터 · 굿즈,"유기토끼의 내일을 응원하는 프로젝트입니다. 귀여운 토끼가 인쇄된 유리컵, 그립톡, 스티커",6207000,620,10011,294
3382,비단부채 전통물감으로 물들이다. [비단부채 드로잉 KIT],예술, 비단에 한국화를 그려보는 드로잉 KIT로 우리나라 화조도를 모티브로 제작하였습니다.,3103000,620,5004,115
3383,"혐오 없는 세상을 향해, 빻은 말 스티커와 멋진 말 스티커",캐릭터 · 굿즈,"헛소리 하는 사람에겐 빻은 말 스티커를, 더 나은 세상을 바라는 당신에겐 멋진 말 스티커를",1860500,620,3000,239
3384,도향 사쉐,홈 · 리빙,시각장애인들이 직접 향을 조향하고 디자인한 사쉐(향주머니)를 선보입니다.,3100200,620,5000,136
3385,스케치업 웹툰 배경 - 여름 바다 해수욕장,웹툰 리소스,여름 바다 해수욕장을 배경으로 한 웹툰 배경입니다.,1860000,620,300000,62
3386,[제트라이드샤프]자없이 직선긋는 가장 완벽한 방법,디자인 문구,제트라이드샤프는 반대편으로 간편한 직선긋기(볼펜)가 가능한 샤프펜입니다.,3099500,619,500000,288
3387,"지금까지 이런 구성은 없었다, 감성 홈카페 스타터 KIT",홈 · 리빙,BASIC으로 실용성과 감성을 모두 잡은 3.4oz의 홈카페 스타터 KIT를 만나보세요.,4958000,619,8009,134
3388,과학 테마 사이토시스 세포생물학 보드게임,보드게임 · TRPG,세포생물학 배경의 보드게임 사이토시스입니다. 테마가 매우 살아 있습니다. ^^,18592000,619,3000000,395
3389,더운데 간편하게! 여름내내 어디서든 오색 한복원피스,의류,"아름다운 전통 한복에 힙한 감성을 녹여낸 새로운 한복 일상 아라치의 한복원피스, 몸.피.스",6197000,619,10011,27
3390,동화시리즈 몰랑 피규어 세트 - 동화속으로 들어간 몰랑,캐릭터 · 굿즈,동화속 주인공이 된 귀여운 몰랑이들을 소개합니다. 4가지 테마의 동화속 몰랑이를 만나보세요,12387000,619,20011,328
3391,독거노인 분들을 위한 'Think of me',캐릭터 · 굿즈,이 프로젝트는 독거노인 분들에게 기부 할 목적으로 만든 프로젝트입니다.,1858000,619,300000,146
3392,세상을 품은 한글 이야기 -한글이 그크끄. 3(완결편),출판,이 책안에는 24개의 글자만으로 수많은 소리를 만들어 내는 신기한 방법이 들어 있어요,18578250,619,30013,389
3393,비를 맞은 사람은 사라진다. <백일우>,웹툰 · 만화,축축한 장마 색깔의 미스터리종교스릴러 만화책 한 권을 품에 넣어보세요.,24769000,619,40014,900
3394,[웹툰스케치업] 왕성과 대저택,웹툰 리소스,판타지 배경 [왕성과 대저택]입니다.,6192000,619,10003,64
3395,"발신지,미술관: 작품 앞에서 쓴 열여덟 통의 편지",출판,미술 작품 앞에서의 사유가 낯선 당신께 보내는 열 여덟 통의 편지,4334000,619,7001,225
