index,title,category,current_funding_amount,percentage,target_funding_amount,supporter,description,result,title_len,intro_len
4709,"우리의 오늘, 같이 입는 저고리",의류,13526000,450,30057,81,현대적인 감성에 한복의 가치를 더하여 일상에서 멋스럽게 입을 수 있는 우리옷을 소개합니다.,1,18,51.0
4710,"취향을 담은 착한감성백, 카인드백 ver.02",잡화,2253100,450,5006,78,텀블러를 담은 작은 가방에 나만의 특별한 이니셜을 수놓아 제로웨이스트 삶을 생활화합니다.,1,26,50.0
4711,프리 재즈 트리오 '피올레' 첫 정규 앨범,음악,901000,450,2002,30,"엄혜련, 서예은, 한규호로 구성된 프리재즈 트리오 '피올레'의 첫 앨범을 위한 펀딩입니다.",1,24,51.0
4712,동화같은 따스함[타이니뮤트 플레잉카드],보드게임 · TRPG,11262000,450,25026,361,소동물과 자연이 함께하는 고퀄리티 일러스트가 그려진 플레잉카드입니다!,1,22,39.0
4713,[피카타임 선물세트] 감사의 마음을 전하세요,푸드,2252000,450,5004,48,고급 구움과자 세트,1,25,11.0
4714,달빛을 그린 자개소반 - Dalban,테크 · 가전,4503200,450,10007,118,일상에 지친 마음과 스마트폰을 달래주는 한국감성 자개소반,1,21,32.0
4715,집에서 블로그 원고로 100만 원 이상 벌었어요!,출판,2270000,454,500000,113,블로그 원고로 학생/성인 할 것 없이 100만 원 이상 버는 노하우를 알려드려요!,1,28,46.0
4716,내게 꼭 필요한 엑셀꿀팁과 엑셀함수,출판,2700000,450,6000,300,네이버도 유튜브도 안알려주는 내게 꼭 필요한 엑셀꿀팁과 엑셀함수,1,20,36.0
4717,한국 전통 무기,웹툰 리소스,4500000,450,10000,88,웹툰 스케치업 소품 <한국 전통 무기 프로젝트>,1,9,27.0
4718,대한민국 대표 퍼즐RPG '퍼즐&로그',디지털 게임,4500000,450,1000000,15,모바일 전략 로그라이크 퍼즐RPG,1,22,19.0
4719,웹툰 스케치업 배경 [탈것 시리즈],웹툰 리소스,4500000,450,1000000,90,웹툰 배경 스케치업 [ 탈것 시리즈 ],1,20,22.0
4720,내맘대로 레시피. 마시는초콜릿 - 초콜릿베이스,푸드,1350000,450,3000,49,겨울이 지나고 살랑살랑 봄바람이 불어오는 따듯한 봄날 내맘대로 만들어 먹는 마시는초콜릿,1,26,49.0
4721,"살아 숨쉬는 모두가 따뜻한 겨울나기, 멸종위기동물 패딩",의류,5399000,449,12024,98,따뜻한 패딩 아우터 속에 멸종위기동물 이야기를 담았습니다.,1,31,33.0
4722,"혼자서 시작하는 취미 미술 드로잉, 머그디아",예술,13497000,449,30060,430,이제 혼자서도 미술을! 내가 원하는 무엇이든 직접 드로잉 해 보세요!,1,25,39.0
4723,"풍문과 여자들, 여성서사단편 만화책 <풍문 속의 풍문>",웹툰 · 만화,8061000,447,1800000,284,"풍문과 여자, 사실과 이야기들. 풍문을 테마로 한 여성서사단편들을 책으로 엮었습니다.",1,31,48.0
4724,학교에서 TRPG를 하면 안 되는 걸까?,보드게임 · TRPG,4493000,449,10006,383,학교에서 교재로 사용할 수 있을 만큼 알기 쉽게 TRPG 책을 만들었습니다.,1,23,43.0
4725,<과자전 Love & Thanks> 과자요정 금속 뱃지,캐릭터 · 굿즈,1347500,449,3001,130,<과자전 Love & Thanks>의 과자요정 캐릭터가 뱃지로 돌아왔습니다.,1,31,43.0
4726,페미니스트명언 맨투맨 Fish Without bicycle,의류,2245000,449,5000,72,페미니즘 맨투맨를 통해 일상속에서 자신을 당당하게 표현하는 이들이 많아지기를 희망합니다.,1,33,50.0
4727,[유엄빠] 유기동물의 첫 발걸음 : 에코백으로 함께하개냥!,잡화,8978000,448,20040,300,구조된 유기동물이 안전하게 입양가는데 필요한 캔넬구매를 위해 시작한 에코백 프로젝트입니다.,1,33,51.0
4728,우린 항상 활짝 핀 청춘 my flower necklace,주얼리,2244000,448,5008,39,"나의 탄생, 나의 가장 빛나는 청춘을 기념하며 시들지 않는 탄생화를 선물해드려요.",1,33,46.0
4729,웹툰배경 건물외부와 내부셋트,웹툰 리소스,4486000,448,10013,108,웹툰에 필요한 건물의 내부와 외부를 모아보세요. 작가님의 작품 활동에 많은 도움이 됩니다.,1,16,51.0
4730,"다양한 모습으로 시간의 흔적을 간직하는, 타임모어백",잡화,4485000,448,10011,44,"시간의 흔적을 다양한 모습으로 고스란히 간직한 신개념 아날로그 백, 타임모어백",1,29,44.0
4731,54남 용디의 첫 번째 EP앨범 <오사봉기> 제작,음악,22420102,448,50044,328,유튜브 크리에이터 54남 용디의 첫 번째 EP앨범 <오사봉기>를 제작하려고 합니다.,1,28,47.0
4732,메모리폼 쿠션을 신발에 옮기다,잡화,2241900,448,5004,46,패션과 워킹을 하나의 스니커즈로!,1,17,19.0
4733,일월오봉도 책갈피,디자인 문구,1345000,448,3002,80,"민화 프로젝트 그 두번째, <일월오봉도>를 금속 책갈피로 만나봐요 :)",1,10,40.0
4734,매력뿜뿜 고양이와 함께하는 미술사 산책,출판,4483100,448,1000000,159,21마리 매력 만점 고양이를 통해 미술사에서 가장 흥미로운 예술운동 특징을 감상해 볼까요?,1,22,51.0
4735,저세상급 착용감! 편하게 외출하자 스판 쿨링팬츠,의류,4480700,448,10001,163,슬랙스핏 스판 쿨링팬츠! 저세상급 편함과 슬림핏으로 올데이 착용가능한 아이템입니다!,1,27,47.0
4736,비누향에 바다 바람향을 담다,향수 · 뷰티,2239200,447,5009,79,"상쾌함의 끝판왕, 비누향의 신세계를 느껴보세요!",1,16,27.0
4737,[2차] 세상에 꼭 하나뿐인 얼굴 도장,디자인 문구,4475000,447,1000000,101,당신의 얼굴을 도장으로 만들어 드립니다.,1,22,23.0
4738,에어팟에 무선충전의 편리함과 파스텔 감성을 담아보자!,테크 · 가전,2237500,447,500000,69,당신의 에어팟에 무선 충전의 편리함과 5가지의 파스텔 감성을 담아 자신을 표현해보세요.,1,30,49.0
4739,"겨울을 닮은 진주, 봄을 담은 진주",주얼리,1342500,447,3003,99,"과하지 않으면서도 눈에 띄는, 봄을 닮아 설렘을 가득 담은 귀걸이입니다 :)",1,20,43.0
4740,'암시반지ver2' 세상에 하나뿐인 내가 보는 각인반지,주얼리,2237000,447,5004,29,보이지 않는 곳에 나의 이야기 새긴 적 있지 않나요? 내가 보는 '암시반지'를 소개합니다.,1,31,51.0
4741,당신을 위한 햇잡곡 건강채소 꾸러미 [소녀방앗간 밥이보약],푸드,4025000,447,9004,75,성수동 소녀방앗간이 소중한 이들의 한끼를 위해 만든 햇잡곡 건강채소 [밥이보약] 밀키트!,1,33,50.0
4742,우리들의 시時와 공空의 향香,홈 · 리빙,2236000,447,5002,80,"소중한 순간時과 장소空,그때의 감정이 오롯이 담겨있는 향香을 통해 일상으로 불러오는 기억들",1,16,51.0
4743,"직접 떠봐요, 고양이 모자!",출판,2235320,447,5000,104,"이 겨울, 내 마음에 '꾹꾹이' 하는 방법",1,16,24.0
4744,<비트윈어스> 단행본 및 외전북 제작,웹툰 · 만화,13404000,446,3000000,167,봄툰 <비트윈어스>의 단행본 및 외전북을 제작하기 위한 프로젝트입니다.,1,21,40.0
4745,"[도밍x러빈볼] 마음을 흔드는 황금별, 스노우볼 쥬얼리",주얼리,22334000,446,5000000,308,"당신의 마음을 알아채는 황금별의 이세계, 일러스트 쥬얼리 콜라보 굿즈 세트를 소개합니다.",1,31,50.0
4746,[퀴어 매거진] 톤포투의 첫 번째 스웻 셔츠,의류,5360000,446,1200000,160,취향에는 성별이 없어야 한다는 취지를 담은 프로젝트 <WMN without a label>,1,25,51.0
4747,"전 세계적으로 단 2곳에서만 나오는 '물'로만든 스킨,로션",향수 · 뷰티,4466000,446,10013,72,"딸을 위해 아빠가 직접만든 스킨,로션, 전세계 2곳 밖에없는 특별한 '물'만든 기초화장품",1,33,50.0
4748,100% 퓨어 캐시미어를 모두의 일상 속에 담다!,의류,31261500,446,70093,305,100% 퓨어 캐시미어를 합리적인 가격에 만나다,1,28,27.0
4749,"[2주년] 더욱 단순해진 다이어리, 커터 2021 다이어리",디자인 문구,9824000,446,22026,364,"다이어리의 본질에 충실하여 더욱 단순하게 제작한, 가장 완벽한 다이어리입니다.",1,33,44.0
4750,[쌍둥이 성좌]8년만에 오디오 드라마로 팬들을 찾아갑니다.,웹툰 · 만화,8927000,446,2000000,83,중세 판타지풍 스토리로 사랑받은 '쌍둥이 성좌'가 2021년 오디오 드라마로 찾아갑니다.,1,33,50.0
4751,반려견과 자연 속으로 떠나보자! <네발로 떠난 트래킹>,출판,8926800,446,20015,395,골든리트리버 장군이가 소개하는 국내 트래킹지 정보를 담은 여행 에세이 펀딩 프로젝트입니다.,1,31,51.0
4752,"[인생코트]좋은 코트 한 벌, 여러 아우터 부럽지 않다!",의류,4462000,446,10004,45,"합리적 가격, 클래식한 디자인 '인생코트'에 오래도록 함께하고 싶은 마음을 담았습니다.",1,32,49.0
4753,"도쿄일인생활 여름, 가을, 겨울 그리고 봄",푸드,35681004,446,80002,1477,1인 생활자들을 위한 1인 요리 레서피 북입니다.,1,24,28.0
4754,그룹홈 아이들에게 꿈을 선물해요_컴퓨터 지원,캐릭터 · 굿즈,2230000,446,5000,193,"아동 그룹홈에 컴퓨터를 지원하는 프로젝트로, 아동과 선생님들께 행복한 크리스마스를 선물해요",1,25,51.0
4755,"내가 따뜻한 만큼, 당신도 따뜻하기를 <아무개즈>",캐릭터 · 굿즈,6688567,445,1500000,156,아무개즈의 첫번째 프로젝트와 함께하는 '니트블랭킷'과 '머그'를 소개합니다.,1,28,43.0
4756,온전히 바라볼 준비가 된 사람들을 위한 옷,의류,4456000,445,10013,33,오랜 시간 동안 온전히 관찰한 것들을 누빔 자켓과 커피 블랜드에 담아 보았습니다.,1,24,46.0
4757,This is__Woman Project. 운동하는 여자들,의류,4454500,445,10010,108,"""THIS IS ____ WOMAN"" 밑줄에 채워넣고 싶은 나만의 정체성은 무엇인가요? ",1,33,50.0
4758,버려진 한옥자재를 일상으로 '항아리 캔들홀더',홈 · 리빙,3117000,445,700000,45,오래된 한옥이 철거될 때 버려지는 한옥자재들이 다시 집 안에 돌아오는 방법.,1,26,43.0
4759,"일상을 바꾼 그 날 밤의 소원, 비주얼노벨<별에게 소원을>",디지털 게임,13358000,445,3000000,332,<별에게 소원을>은 가볍게 즐길 수 있는 러브코미디 장르의 비주얼노벨입니다.,1,33,43.0
4760,키링이 야옹 하고 울어요!,잡화,222562050,445,500139,6006,크림히어로즈 야옹 키링,1,15,13.0
4761,<춤추고 노래하고 요가하는> 요가적 삶,출판,4451000,445,10002,189,요가저널 발행인이자 요가쿨라 김이현 원장이 요가를 통해 깨달은 것들,1,22,38.0
4762,"WHO'S IN : 두 시선으로 담아낸 사진집, 엽서북",사진,5786000,445,13002,204,두 작가의 사진으로 구성된 사진집입니다. 두 시선이 한 사진집에 함께 어우러져있습니다.,1,31,49.0
4763,"내 방 속 작은 풍류, 글월문 책갈피",홈 · 리빙,445000,445,1000,36,"꽃과 독서, 고전시가를 모티브로한 수공예 책갈피입니다.",1,21,31.0
4764,"우리가 새해를 준비하는 달콤한 방법, '안녕, 맑은 달.'",푸드,1335000,445,3000,44,한 입 크기의 수제 강정 '문볼(MOONBALL)'과 함께 새해를 여유롭게 시작해 보세요.,1,33,51.0
