,title,current_funding_amount,percentage,target_funding_amount,supporter
208,공허함에 대한 아트북 <Lost things>,2189500,218,500000,54명
209,"버려진 페트병, 공간에 아름다움을 채우다 <패브릭 포스터>",712000,142,500000,43명
210,고전 게임의 재미를 계승한 모바일 게임 “퍼스트클로버”,5791000,115,500000,99명
211,"내 취향 와인을 찾기 위해, '와인 테이스팅 다이어리'",628000,104,500000,31명
212,<코끼리 프로젝트> 제 29회 홍익대 판화과 졸업전시,599000,199,500000,21명
213,꽃다 : 귀에 꽂는 꽃 한송이 0.3CT과 천연 보석,1723100,172,500000,20명
214,내 지갑 속 전시회 <명화 카드 스킨>,586200,117,500000,38명
215,Solitude by Wind&Wave 악보집,1095000,109,500000,18명
216,"환경보호프로젝트 ""아임쏘리""",537000,107,500000,26명
217,"즙택청약, 무이자 대추즙으로 내즙마련 하세요!",5305277,106,500000,90명
218,엉킴이 적어 반려견과 함께 쓰기 좋은 <친환경 유니밴드>,750600,150,500000,40명
219,컬러로 널 위로할게_ 리버시블 프린트백 RE:bag,1864900,124,500000,28명
220,색깔이 변하는 이니셜 자수인형 '아끼',2167000,108,500000,29명
221,누구도 받고 싶지 않은 선물,2945000,226,500000,59명
222,웹드라마 <너의 한걸음 뒤에>,560000,112,500000,26명
223,아빠와 함께 만드는 나만의 종이드론,1102000,110,500000,11명
224,"그들이 말하는 탈코르셋, <탈코일기> 단행본",193481760,38696,500000,"8,780명"
225,"전통한복 그대로, 어디에나 입기 좋은 오버핏 장저고리",182807000,36561,500000,"1,662명"
226,뽀글뽀글 저고리 점퍼<뽀고리와 캥거루>골덴 바지,34501000,34501,500000,305명
227,"<금목서>,<정산소종> 가을과 겨울 그 사이 어딘가의 향.",123025800,24605,500000,"2,374명"
228,새로운 마법. 액션을 위한 이펙트 시리즈,23952000,23952,500000,572명
229,"간호사가 작정하고 만든 압박스타킹, 널스노트의 <널핏>",205252519,20525,500000,"5,970명"
230,대한 여권 케이스: 잊혀진 독립운동가 김문로 선생 알리기,58197400,19399,500000,"2,514명"
231,따뜻한 감성과 가치를 지닌 북마크 : '버드스틱',3230000,17000,500000,104명
232,타로리더가 되기 위해 초보에게 필요한 단 한 권의 책,33004000,16502,500000,"1,122명"
