,title,current_funding_amount,percentage,target_funding_amount,supporter
345,(투닥토닥 판타지) 스케치업 프로젝트 No.16_아카데미,51600000,5160,500000,430명
346,"투명한 피부의 비결, 황칠 나노입자 화장품 ""엑소드랍""",25613600,5122,500000,363명
347,머글에겐 처음 선보이는 향기포션 선물세트 [이세계 향수],25597300,5119,500000,483명
348,"새로운 디자인, 기능성을 겸비한 브라이트블루 안경",25481724,5096,500000,526명
349,오리 한마리 입양하세요! [말랑폭신 오린이 인형],50733000,5073,500000,"1,356명"
350,죽음의 향기를 담아내다. [Parfum de Death],25350000,5070,500000,488명
351,자유자재 데포르메 헤드 3D,75908000,5060,500000,511명
352,세렌 웹툰 스케치업 #4 부촌 주택가,50445000,5044,500000,504명
353,"""19세기의 낭만을 그대로, 특별한 레이스 양산.""",88695000,5039,500000,841명
354,세렌 웹툰 스케치업 #6 신축주택가&아파트촌,50371000,5037,500000,514명
355,"코딩의 문턱을 낮추다, <코딩으로 지구정복>",50160331,5016,500000,"1,335명"
356,애니메이션 적용된 로판 마법 장신구 세트(클튜전용),24960000,4992,500000,467명
357,"우리가 사랑하는 물의 순간, <아카이브 오브 워터 시즌2>",24907000,4981,500000,656명
358,웹툰을 위한 스케치업 프로젝트 - 공항&항공기,49740000,4974,500000,500명
359,"집을 오가며 기록한 파도의 얼굴, Wave 엽서집과 포스터",24808500,4961,500000,686명
360,힙시크한 감성을 담은 매듭 <뉴트럴블랙>,24741000,4948,500000,641명
361,1325명을 지키는 한사람이 있습니다. 그는 소방관입니다.,49285900,4928,500000,"1,862명"
362,"호랑이 자수 매듭 가방, 모꼬지 호담백 COMEBACK!",14733500,4911,500000,225명
363,내 일상은 너의 포르노가 아니다.,14478100,4826,500000,818명
364,후보정을 쉽고 편리하게! #웹툰필터,37459000,4816,500000,"1,079명"
365,"그들에게 전하는 편지, Adogtive의 오버핏 맨투맨",24024105,4804,500000,737명
366,S부터3XL까지 가슴에 자유를! 미드에어X66100 브라렛,48007000,4800,500000,892명
367,"그들에게 전하는 편지, Adogtive의 반팔 티셔츠",23938877,4787,500000,850명
368,"여성 주연, 비 로맨스 테마 출판만화 앤솔로지 여명기",142693900,4756,500000,"4,455명"
369,2020년을 기록하는 100가지 질문 <연말정산> 6주년,23753000,4750,500000,"1,151명"
370,스파이가 훔친 딸기 '베리로제',47489700,4748,500000,921명
371,고전 문학과 그리스 신화의 향기를 담은 <멀티유즈 크림>,23729200,4745,500000,330명
372,손그림처럼 그리는 <아이패드 브러쉬와 굿즈 만들기 비법서>,47412000,4741,500000,"1,974명"
373,"<평화, 새로운 시작 _ 남북정상회담> 뱃지",42608000,4734,500000,"1,781명"
374,후추 유목민/후추 덕후/후추 고수들을 위한 후추 키트,23563500,4712,500000,672명
375,물담배에서 피어나는 양귀비 향을 담은 향수 '후카',46935000,4693,500000,"1,114명"
376,봄 햇살과 당신을 위한 '모두의 꽃잎 수채화 KIT',18751000,4687,500000,746명
377,"잊혀지지 않는 붉은 빛, 루비 목걸이",4683000,4683,500000,226명
378,MZ세대를 위한 <한 권으로 끝내는 자취방 구하기>,23187000,4637,500000,"1,577명"
379,[로판웹툰: 스케치업] 여주의 두근두근 멜로한스푼!,46342000,4634,500000,580명
380,마음까지 따듯해지는 가격 '일상의 울코트',92582000,4629,500000,"1,129명"
381,여성의 몸을 잘 아는 간호사가 만든 Y존이 숨쉬는 사각팬티,69404000,4626,500000,992명
382,사과 한 알이 통째로 퐁당 [한알가득 사과담아],23082000,4616,500000,112명
383,"강아지공장 구조견들을 위한, ""집에 가자, 댕댕아."" 보틀",23069373,4613,500000,"1,669명"
384,[스케치업 웹툰배경] 앤틱한 고급양복점,8256250,4586,500000,91명
385,소매에 주머니 달린 맨투맨 봤나요?,22796090,4559,500000,660명
386,"별빛의 색을 담아 시를 쓰다, 윤동주 별 헤는 밤 잉크",22687700,4537,500000,564명
387,"포근하고 따뜻하게 겨울을 나는 방법, 양면 솜저고리",45373000,4537,500000,242명
388,"티, 버블티, 커피 그 이상의 텀블러, Teaboco",45193000,4519,500000,"1,073명"
389,"베를린잡화점X스냅툰, 바로크양식 [마법학교] 로판웹툰배경",45020000,4502,500000,321명
390,매일의 마음이 모여 완성되는 '1년 마음 포스터',27004500,4500,500000,"1,890명"
391,[스케치업 웹툰 배경] 19세기 사용인의 공간 9종세트,44784000,4478,500000,762명
392,웹툰상생프로젝트#8 WEEX 웹툰 배경 자동 내보내기,22350000,4470,500000,447명
393,"스케치업 웹툰배경-""앤틱 별장""",44694000,4469,500000,664명
394,가볍고 따뜻한 한복 두루마기의 재해석 두루자켓,44646000,4464,500000,281명
395,당신의 바다꽃이 될래요. 탄생화 자개 DIY키트,22222000,4444,500000,302명
396,"신神사전 2탄, '이처럼 다양하神'",133322100,4444,500000,"4,680명"
397,세렌 웹툰 스케치업 #5 쇼핑센터&로데오거리,44399000,4439,500000,479명
398,[스케치업 웹툰 배경] 판타지 신전,35415374,4426,500000,661명
399,"손글씨 교정을 도와드립니다, '글씨 코어 키우기' 노트",88369000,4418,500000,"3,302명"
400,웹툰을 위한 주거 공간 스케치업,44120000,4412,500000,510명
401,만화 <장례식 케이크 전문점 연옥당>,88135000,4406,500000,"2,505명"
402,"카페인 걱정없이 가장 맛있는 차, '밤을 가볍게 마시다'",21934300,4386,500000,696명
403,[스냅툰] 웹툰 배경 3종세트,43496000,4349,500000,"1,132명"
404,"여름준비시작, 시원한 그늘이 되어주는 '린넨 벙거지'",30325400,4332,500000,"1,373명"
405,"우주의 빛을 관측하는 투명한 아름다움, 혼천의 썬캐쳐",43296000,4329,500000,732명
406,(투닥토닥 판타지) 스케치업 프로젝트 No.11_로판 성,43265000,4326,500000,509명
407,배경효과넣는 시간을줄이자! Seperate Exporter,43155000,4315,500000,862명
408,유튜버 알간지 후드티 한정판,238584072,4294,500000,"3,795명"
409,디저트 퍼퓸가게 '델리'에 오신것을 환영합니다.,21284500,4256,500000,413명
410,좋은 말 뱃지들 : 하고싶던 말 들,4253500,4253,500000,348명
411,창작자를 위한 아르누보 패턴 브러시,21249000,4249,500000,801명
412,조개껍데기는 녹슬지 않는다. 자개 명화 그리기,21142000,4228,500000,479명
413,배조임없는스타킹으로 편안하게 겨울나기,42276315,4227,500000,"1,222명"
414,"[스케치업 웹툰 배경] 커스터마이징 펜트하우스, 1탄",21062000,4212,500000,234명
415,"고려시대와 조선시대, 웨딩 컨셉으로 풀어낸 두 시대의 한복",41864000,4186,500000,195명
416,"제주의 봄을 맛보다, 제주금귤 유자 초콜릿",20926800,4185,500000,751명
417,"유니크하다고 자부합니다, 신들의 향을 담은 '르파써'",41782000,4178,500000,868명
418,신기방기 손 포즈집 - 1000개 이상의 3D손 포즈,41780000,4178,500000,335명
419,조연은 그만. 오늘은 내가 주인공 할게요 <안개꽃 향수>,20880000,4176,500000,574명
420,"일상의 편안함에 한복의 미를 더하다, 우리;의(衣) 홈웨어",20863000,4172,500000,252명
421,"우리가 사랑하는 물의 순간, <아카이브 오브 워터>",29127000,4161,500000,"1,179명"
422,웹툰 스케치업 배경-뒷골목UP,20760000,4152,500000,173명
423,소중한 당신을 위해 샴푸부터 바꿔봐요! 비건 고체샴푸바,12453500,4151,500000,359명
424,"한텐? 아니요 마고자인데요? 우리 겨울옷, 마고자",248966990,4149,500000,"2,379명"
425,"웹툰 스케치업 배경 판타지도시,시골마을",20740000,4148,500000,308명
426,[스케치업 웹툰배경] 무협 사극 배경,41375000,4137,500000,331명
427,뚜껑이 없어도 마르지 않는 '에어리스 12색 사인펜',12381000,4127,500000,564명
428,장애묘의 집사가 되어 주세요 : 완벽하지 않아도 괜찮아,12359000,4119,500000,948명
429,"영원히 너를 안아줄게,나의 반려동물 털반지 [리멤버 허그]",41025000,4102,500000,352명
430,우 리 동 네 2 . 0,41020000,4102,500000,329명
431,"수백 가지 조합으로 빠르게, [판타지 의상 디자인 키트]",32800000,4100,500000,756명
432,아름다운 페이퍼 돌이 시대를 초월한 클래식 동화와 만났다!,12295500,4098,500000,662명
433,달 한 잔 하실래요? 추석맞이 주병선물세트,16344000,4086,500000,334명
434,(100개 한정)여정을 기록하는 하나뿐인 세계지도 배낭,40780000,4078,500000,172명
435,"시를 품은 동주의 가방, 6공 다이어리",40778500,4077,500000,938명
436,"디자이너, 창작자, 프리랜서가 꼭 알아야 할 <세무>",12200900,4066,500000,"3,442명"
437,세렌 웹툰 스케치업#7 테헤란로 도시거리&상점가,40630000,4063,500000,373명
438,"소복이 쌓이는 향기, 인센스홀더 '설와'",20275000,4054,500000,425명
439,앤티크하고 빈티지한 일러스트 타로카드 세트,40257000,4025,500000,"1,015명"
440,12년동안 5천개 제품 써보고 만든 속건조 진정 에센스,40063799,4006,500000,760명
441,"DIY 오르골, 여러분의 멜로디를 담아보세요",59964000,3997,500000,"1,538명"
442,[취생몽사] 취한듯 살다 꿈꾸듯 죽는 삶의 향기를 담아내다,19738000,3947,500000,328명
443,셰프 줄리아 차일드의 프랑스 요리의 기술,39433800,3943,500000,727명
444,"비혼 여성들을 위한 경제지침서, BECONOMY(비코노미)",78599000,3929,500000,"2,873명"
445,보호종료아동의 꿈을 담은 버킷백 & 뱃지,19642508,3928,500000,734명
446,"여름엔 가볍게 한 장만 걸치세요, '노브라 반팔 셔츠'",39100000,3910,500000,803명
447,비전공자/프리랜서/신입을 위한 편집 디자인 실무 가이드북,38990000,3899,500000,"1,268명"
448,"전통패턴 그대로, 간편하게 즐기는 저고리 원피스",65310000,3887,500000,349명
449,TEA전문가 큐가든의 세젤맛 밀크티 2탄!! 밀크티 KIT,19423500,3884,500000,414명
450,잠 못 이루는 엄마를 위한 숙면베개 <깊은잠공방>,11594512,3864,500000,434명
451,박나나 키보드 장패드,134703500,3848,500000,"5,064명"
452,웹툰 [병원]스케치업배경 !,38416000,3841,500000,743명
453,"디지몬 어드벤처 - 버터플라이, 브레이브하트 앨범 발매",1342749000,3836,500000,"27,457명"
454,[스케치업 배경] 소박하지만 아늑한 빅토리아 시대 하우스,38335000,3833,500000,697명
455,"세상에 오직 하나, 한국의 판타지 아이템 도감",76553500,3827,500000,"2,404명"
456,서산의 그림자 : 56년간 잃어버린 우리의 달을 찾아주세요,15288933,3822,500000,933명
457,"디자이너, 창작자, 프리랜서의 [권리]",11442200,3814,500000,576명
458,"사계절 테마 악세사리 - 귀걸이/귀찌, 책갈피, 핀, 반지",11428000,3809,500000,269명
459,"신의 반열에 오른 인간, 영생을 얻는 매혹적인 금단의 술.",18992000,3798,500000,469명
460,"2021년 귀신고래의 행운을 담은, 고래도장 & 명함디퓨져",18986000,3797,500000,394명
461,웹툰 스케치업 프로젝트_03.대학교,37861000,3786,500000,633명
462,세렌 웹툰 스케치업#10 학교 3종 외부와 내부 세트,37860000,3786,500000,438명
463,당신의 덕질을 완성하는 하나뿐인 디지털 다이어리 <취미록>,11324500,3774,500000,491명
464,<모퉁이 뜨개방> 단행본 제작,339298700,3769,500000,"7,436명"
465,"나는 화가 날 때 일기를 써, 하이드의 극대노 다이어리",37650000,3765,500000,"1,560명"
466,기억하시나요? 그때 그 추억의 로션 향기,18818100,3763,500000,362명
467,비전공자를 위한 이해할 수 있는 IT 지식,75130433,3756,500000,"4,493명"
468,"[꼬냑향수] 영원한 강자, 꼬냑(Cognac)",18684000,3736,500000,372명
469,여자 셋이 만든 <노브라 티셔츠> 숨통이 트이는 '숨통티',48659000,3743,500000,"1,165명"
470,<두 친구 이야기> 대통령 당선일 아침 신문 디자인 뱃지,37395000,3739,500000,"1,314명"
471,"여성 민주열사를 기억하는, <파란여성 프로젝트>",18566100,3713,500000,"1,392명"
472,신기방기 발 포즈집 - 1000개 이상의 3D 발 포즈,37100000,3710,500000,580명
473,스케치업 웹툰 배경 [로판 섬 왕국 패키지],37086000,3708,500000,316명
474,[스케치업배경] 왕궁침실과 물위의정원 set,36915000,3691,500000,535명
475,웹툰 스케치업 배경 - 홍대 거리,18450009,3690,500000,205명
476,"나무와 흙, 낙엽이 전하는 3가지 ""가을"" 숲속 향기",18448340,3689,500000,311명
477,"아홉번 매혹되는 향기, 구미호가 품은 향수",18399204,3679,500000,448명
478,영원한 우리들의 여정을 기억해! '반려동물 털 목걸이',36757490,3675,500000,499명
479,감독이 참여한 첫 공식 도서 <크리스토퍼 놀란>,36734800,3673,500000,918명
480,"이세계의 모든 빛을 담은 보석, 오팔",18333700,3666,500000,180명
481,"언제나 내 품에, 보들보들 why bear 노트북파우치!",29273500,3659,500000,702명
482,내 손 안에 작은 도자기 '고려청자 케이스',18255500,3651,500000,685명
483,야망100%충전 : 도서 All About Ambition,18255000,3651,500000,869명
484,어른이들을 위한 “마음 학습지” #심리 #상담,36469000,3646,500000,811명
485,[스케치업] 자동차/연예인 롱밴/외제차/슈퍼카,36417500,3641,500000,332명
486,앤트 웹툰 스케치업 #1 - 중세 저택내부,36402000,3640,500000,591명
487,[촛불뱃지] 어둠은 빛을 이길 수 없다,14526100,3631,500000,"1,036명"
488,딸기와 담배는 언제나 널 떠오르게 해 < 레더베리 >,36302500,3630,500000,972명
489,"여성의 모든 일이 편안하길, 클래식 니플커버",36259000,3625,500000,"1,467명"
490,노브라로 입는 편하고 예쁜 홈웨어 '프리찌' 겨울시즌,46399000,3624,500000,491명
491,웹툰 일러스트를 위한 프릴 레이스와 장식 브러쉬!,18081000,3616,500000,520명
492,"프리랜서, 창작자의 불규칙한 수입관리",10831200,3610,500000,333명
493,"Paper Ring ""메세지를 전하다""",17859400,3571,500000,309명
494,"꽃이 차오르는 봄날의 찻잔, 봄잔",28532500,3566,500000,692명
495,[과자와 생활-3] 리리키친의 접시,7114000,3557,500000,245명
496,공장 자체제작 실용적인 디자인의 쌍둥이 크로스백,35498500,3549,500000,"2,172명"
497,"월간커피, 민초단 모여라! 민트 초코맛 콜드브루 커피",17675000,3535,500000,"1,118명"
498,카세트테이프의 새로운 쓰임새 '테잎테잎(TAPETAPE)',35318000,3531,500000,"1,441명"
499,[스케치업] 로판 일러스트를 위한 평민들의 집,17626000,3525,500000,508명
500,[스케치업]자동차 2탄/외제차/국산차/경차,35207500,3520,500000,284명
501,지금 바로 할 수 있는 투잡 41가지,35085000,3508,500000,"1,561명"
502,"귀차니즘 필수 아이템, 요일 티셔츠",34924000,3492,500000,778명
503,[스냅툰] 자연배경 세트,34916000,3491,500000,480명
504,치약 아니고 민트! 리베르 민트비누향 섬유향수.,17260600,3452,500000,927명
505,세렌 웹툰 스케치업#9 아현동 반지하 주택가&친정 단독주택,34487000,3448,500000,384명
506,"초가집 웹툰배경 스케치업(소품, 선비집, 주막, 저잣거리)",34441000,3444,500000,457명
507,돌고래에게 자유를,68880089,3444,500000,"3,205명"
508,고퀄리티 2D 배경 소스 210종 (하늘&나무&돌&풀),34411000,3441,500000,328명
509,재미있는 영화 클리셰 사전 <여자 주인공만 모른다>,34351000,3435,500000,"2,220명"
