,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
105,잃어버린 시간을 찾아주는 '퍼센트 플래너',"17,511,300",1751,배송 완료,692명
106,"보라빛 봄의 마법, 은은하고 화사하게 ""라일락 블룸""","8,751,000",1750,배송 완료,284명
107,웹툰 스케치업 -사건 25시 3탄 - 드론,"3,500,000",1750,배송 완료,71명
108,[앵콜] 고양이 자수양말 '냥말' 2탄 - 은혜갚은 물꼬,"17,498,500",1749,"1,000,000",711명
109,[베른 수제 만년필] 금속과 나무의 클래식한 결합,"17,450,000",1745,"1,000,000",187명
110,우주최강 편안한 게이밍 이어셋,"17,446,200",1744,"1,000,000",279명
111,소녀가 소녀에게,"26,156,100",1743,"1,500,000","1,246명"
112,무속 신화 플랫폼 [환생]: 끊어진 신성의 회복을 위하여,"17,429,000",1742,배송 완료,711명
113,2018 행복얼라이언스 DAY [함께해서 행복해],"17,390,000",1739,배송 완료,235명
114,기독 퀴어 청소년 만화 <요나단의 목소리> 단행본 세트,"43,514,000",1740,배송 완료,899명
115,겨울 집콕 준비완료ʕ•ᴥ•ʔ 집순이의 보송보송 곰털 후리스,"34,750,000",1737,배송 완료,414명
116,"쿠키로 떠나는 여행, 요나폿의 뉴욕 쿠키","5,211,000",1737,배송 완료,123명
117,"자위를 위한 젤, [PEACH] P 젤","17,363,700",1736,"1,000,000","1,032명"
118,"용기가 필요한 당신에게, 전통영물 백호 드림캐쳐&키링&뱃지","17,320,500",1732,배송 완료,601명
119,"향료계의 싸이코패스, 천부적인 재능을 가진 시스투스의 향기","8,653,210",1730,배송 완료,182명
120,스케치업-한번쯤 나올만한 소재 페허도시,"17,302,000",1730,배송 완료,144명
121,스케치업 웹툰배경 오페라 하우스,"8,650,000",1730,배송 완료,171명
122,고양이 커피다방 <지붕 위 삐롱커피>,"6,908,000",1727,배송 완료,265명
123,서울에 페미니즘 광고하기 : 우리가 백래시에 대항하는 법,"34,529,938",1726,"2,000,000","1,830명"
124,납량특집! 웹툰과 일러스트를 위한 공포만화소재 SET,"17,258,000",1725,배송 완료,542명
125,<신기방기 머리 포즈집> 내가 만드는 나만의 3D 캐릭터,"17,250,000",1725,"1,000,000",148명
126,조원장의 메이크업 솔루션,"345,000",1725,"20,000",49명
127,제가 복잡한 걸 싫어해요. 쉽게 배우는 [영상편집],"34,478,100",1723,"2,000,000","1,796명"
128,"한국의 색을 담은 잉크, '므른'","34,461,000",1723,"2,000,000",498명
129,[텀블벅 3차] 더 새롭고 합리적으로 돌아온 한장의식단,"51,464,630",1715,"3,000,000",739명
130,"라일락을 사랑하는 당신에게, 라일락향수 like lilac","17,250,000",1725,배송 완료,404명
131,뜨거운 모험가들의 여정 <던전앤파이터 15주년 아트북>,"85,631,100",1712,"5,000,000","1,021명"
132,쳐리의 열두 달 달콤함을 담은 < 2021 디저트 캘린더>,"18,806,520",1709,배송 완료,793명
133,봄을 담은 고즈넉한 셔츠원피스,"17,054,000",1705,"1,000,000",429명
134,"어른들의 지적 성장 도전기, 자기계발 학습지 '쓸모'","16,188,000",1704,배송 완료,723명
135,근미래 SF스타일 전쟁폐허 웹툰배경 시리즈 2탄!,"17,031,500",1703,배송 완료,204명
136,"‘○○ 예절 알려준다, 이 예의 없는 새끼들아’단행본 출간","34,005,062",1700,"2,000,000","1,843명"
137,"나다움의 시작, 왕비의 거울깨기","8,491,858",1698,"500,000",538명
138,리턴-로판중세왕궁배경,"8,490,000",1698,배송 완료,69명
139,타임지선정 영문소설 베스트100 유일한 그래픽노블<왓치맨>,"50,918,100",1697,"3,000,000","1,352명"
140,양념치킨 스케치업 웹툰배경_중국풍 판타지 저택,"8,470,000",1694,배송 완료,154명
141,클튜 3D로 만나는 판타지 무기 컬렉션,"16,907,000",1690,배송 완료,371명
142,"디자인, 수납, 편리를 모두 갖춘 완벽집착자의 수제 반지갑","8,436,000",1687,배송 완료,120명
143,"제주의 맛을 담은 나만의 특별한 한 잔, 디커피 #1","3,706,000",1684,"220,000",123명
144,"스케치업 웹툰배경-최신 스마트폰,핸드폰 화면소스","8,414,000",1682,"500,000",303명
145,에어프라이어 레시피북,"16,826,000",1682,"1,000,000",954명
146,레진코믹스 <유럽에서 100일> 1~5권 단행본 제작,"50,472,600",1682,배송 완료,878명
147,일상 속 '향기 한 잔(盞)',"8,408,500",1681,배송 완료,131명
148,저에게 맡기시고 편안하게 산책하세요 : 데일리 산책가방,"8,407,400",1681,"500,000",241명
149,웹소설 작가 문시현 5주년 기념 <2021 책자와 달력 >,"16,805,000",1680,배송 완료,306명
150,웹소설 작가 문시현 5주년 기념 <2021 책자와 달력 >,"16,805,000",1680,배송 완료,306명
151,유니콘의 숲으로 초대합니다<Unicorn's Forest>,"16,795,000",1679,배송 완료,419명
152,지금까지 없었던 애프터눈티 세트Ⅱ:민트박스와 '단짠'의조합,"16,783,000",1678,"1,000,000",417명
153,<스케치업 웹툰 배경> 중국풍 무협 사극 배경,"16,759,600",1675,배송 완료,268명
154,꾸덕한 달콤함이 필요해! 빈티지 아메리칸쿠키,"8,369,500",1673,배송 완료,252명
155,별자리 인센스 스틱향★향기를 선물합니다.,"8,349,400",1669,"500,000",326명
156,'전통 매듭짱' 되기 마스터 키트 - 매화 매듭편,"16,721,000",1672,배송 완료,491명
157,"건강한 나를 위해, 지구를 위해, <비건자취요리노트>","33,370,500",1668,배송 완료,"1,881명"
158,"시대에 가려진 이야기를 시(詩),향하다; 매화∙난초 인센스","11,660,300",1665,"700,000",521명
159,더 나은 여성 인권을 희망하는 <하얀 리본 뱃지>,"4,991,500",1663,"300,000",580명
160,화제의 디저트책 <FRUITS> 한글판 전격 출간!,"33,250,100",1662,배송 완료,521명
161,10년 연구개발 발각질제거제 캘러스필 미스트 국내 론칭,"8,276,000",1655,배송 완료,226명
162,직업 탐구 인터뷰 <the Persons> '바리스타',"16,545,000",1654,배송 완료,865명
163,향기가 피어오르는 제주-센트아일랜드 한라산 인센스홀더,"16,506,004",1650,배송 완료,460명
164,스케치업 폐학교.폐교실.폐창고 내외부.,"16,495,000",1649,배송 완료,209명
165,어떤 비누향을 좋아할지 몰라 다 준비해봤어,"8,239,600",1647,배송 완료,256명
166,묘하고 아름다운 차 한 잔 - #2 나의 첫번째 보이차,"16,460,000",1646,배송 완료,143명
167,"우울한 20대의 초상, 이묵돌 단편선 시리즈","16,447,000",1644,배송 완료,409명
168,한복? 블레이저? 가장 한국적인 블레이저,"8,220,000",1644,배송 완료,94명
169,"너와 나, 우리 모두의 페미니즘 폰케이스.","4,931,000",1643,"300,000",239명
170,"철거위기에 놓인 아지네마을, 유기견들의 집을 마련해주세요","8,214,000",1642,"500,000",403명
171,"페미니즘 지원 프로젝트 팔찌, '성별은 계급이 아니다'","16,412,500",1641,배송 완료,662명
172,"타임 스토리즈, 새로운 임무","49,232,074",1641,배송 완료,611명
173,동물들의 평범하고 귀여운 일상을 지켜주세요.,"11,486,000",1640,배송 완료,296명
174,"모든 행운을 너에게, 2019 루나파크 다이어리","81,965,500",1639,"5,000,000","3,566명"
175,일상속에 잊혀지던 편안함. '에브리웨어 가디건',"40,932,001",1637,"2,500,000",740명
176,"월간커피, 과일 사탕같이 달콤한 콜드브루 커피","8,182,000",1636,배송 완료,480명
177,"사랑에 빠지고 싶은 맛, 딸기라떼&벚꽃체리 봄음료 베이스","8,181,800",1636,"500,000",261명
178,스케치업 웹툰 배경 [신비로운 숲 속 마을],"16,296,000",1629,배송 완료,213명
179,한장의식단의 대용량 버전 '나에게용기를',"48,855,504",1628,"3,000,000",738명
180,클로드 모네의 수련이 담긴 스티커팩,"4,885,000",1628,배송 완료,402명
181,"[앵콜] 여행자를 위한 기타 ""klang ver.2 ""","32,554,000",1627,"2,000,000",163명
182,"고전, 영어를 만나다","16,272,000",1627,"1,000,000",248명
183,추리×괴담 20명 작가의 무서운 콜라보《괴이한 미스터리》,"24,395,000",1626,배송 완료,535명
184,"자연에 물든 빛깔로 적셔내다, 돌아온 '겨우살이 털목도리'","16,261,000",1626,배송 완료,261명
185,"미니멀리스트 라이프스타일 백팩, '케로렉(KEROREK)'","16,261,000",1626,배송 완료,215명
186,[앵콜] [마지막] ORIGINAL 모꼬지 자수 매듭 가방,"24,377,500",1625,배송 완료,566명
187,"월간커피, 스모어 쿠키와 체리 콜라같은 콜드브루 커피","8,123,000",1624,배송 완료,484명
188,액션 마법 이펙트 브러쉬 모음!,"16,244,000",1624,배송 완료,652명
189,"중국의 대표 신화집, 《산해경》일러스트북","37,330,500",1623,배송 완료,"1,573명"
190,"3분에 이해하는 간편 세금, ""3분세금""","8,114,000",1622,배송 완료,579명
191,"길고양이의 눈병치료를 위한,""밝은 세상을 보여줄게""텀블러","8,113,689",1622,배송 완료,596명
192,<크림강아지 무스> 봉제인형,"38,924,500",1621,배송 완료,"1,321명"
193,내 글의 품격을 높이는 <우아한 맞춤법>,"16,204,000",1620,배송 완료,953명
194,발렌타인데이 10초밀크티시럽 세트 & 대용량 밀크티시럽,"16,184,000",1618,배송 완료,453명
195,우리집을 부탁해,"32,309,970",1615,"2,000,000","1,785명"
196,노브라 원피스와 티 - 스타일과 자유로움을 한번에,"16,151,000",1615,배송 완료,241명
197,스케치업 웹툰배경 - 로판 대신전세트 Part - 1,"16,149,000",1614,"1,000,000",245명
198,"일상에 상큼함을 더하다, 레몬 아이패드 노트북 파우치","9,688,000",1614,배송 완료,275명
199,[스튜디오 질풍] 웹툰 스케치업 3D배경 <제2차>,"16,130,000",1613,배송 완료,178명
200,"당신의 꿈을 지켜줄 거에요, 전통 영물 드림캐쳐&뱃지","16,122,000",1612,배송 완료,488명
201,"당신을 응원하는 달달한 위로, 디커피","3,221,000",1610,배송 완료,78명
202,"월간커피, 인절미 빙수처럼 달콤하고 고소한 콜드브루 커피","8,048,000",1609,배송 완료,524명
203,"기차역, 증기 기관차, 다양한 탈것 세트.","16,080,000",1607,배송 완료,296명
204,레모네이드 팔아요! lemon breeze 오 드 퍼퓸,"16,071,600",1607,배송 완료,259명
