,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
205,<프린세스 이스케이퍼> 엘판소 스타일의 공주님 메이커,"5,064,001",506,"1,000,000",238명
206,유럽 여성의 고전 복식을 담아낸 일러스트북,"25,316,500",506,"5,000,000","1,346명"
207,(앵콜)집순이의 유니폼 - 회색곰 / 검정곰털 추가!,"5,062,000",506,배송 완료,70명
208,디자이너를 위한 '폰트 사이즈 마우스 패드',"5,061,944",506,배송 완료,666명
209,당신의 식탁에 가치를 따옴'. 혜윰의 비건레시피북,"3,037,000",506,"600,000",180명
210,사랑스런 <아토>의 평화로운 하루,"10,123,000",506,배송 완료,386명
211,크리스마스를 더욱 특별하게 빛내줄 유어스탬프,"5,060,000",505,배송 완료,100명
212,"판타지 사냥대회, 야영세트","5,060,000",505,"1,000,000",103명
213,"""얘들아 잘 지내니?"" 마음을 담은 기록","7,587,000",505,"1,500,000",115명
214,잼있는인생이 영차영차(茶) 우려만든 밀크티 보틀·팩,"1,112,500",505,"220,000",79명
215,웹툰<시타를 위하여>완전판 단행본 제작,"50,566,500",505,"10,000,000","1,877명"
216,[그 마법사가 남기고 간 이야기] - 3월 ('13),"505,442",505,"100,000",27명
217,'나' 전문가가 되어보세요 <나로쓰기 GUIDE&NOTE>,"10,104,319",505,배송 완료,314명
218,바다를 품은 해양브러쉬,"2,525,000",505,배송 완료,113명
219,봄에 입기좋은 '스트라이프 셔츠',"2,525,000",505,"500,000",61명
220,소소한 홀로를 위한 일상 안내서 <소로 스카우트>,"1,514,999",504,"300,000",117명
221,찹쌀도넛 도우도우& 모우모우 빅쿠션,"15,143,000",504,배송 완료,309명
222,세상에 없던 발렌타인데이 선물! 4가지맛 '보틀케이크!',"2,523,400",504,"500,000",75명
223,뱃지를 만드는 사람들의 이야기와 샘플집 ‹뱃지 카탈로그›,"20,187,000",504,배송 완료,327명
224,<MOBYDICK> 버려지는 아크릴로 만든 튜브짜개,"5,045,700",504,배송 완료,222명
225,단편만화 <이무기와 아기용>,"5,042,004",504,배송 완료,436명
226,"일상의 향기를 텍스트로 담는 에스키스북셋 ""천상지화""","5,040,000",504,"1,000,000",47명
227,<제주도> <남해> 그리고 <부산> 바다를 담은 루이보스,"5,040,000",504,배송 완료,98명
228,웹툰 스케치업 - 판타지 중세 1층 주택 3종,"2,520,000",504,배송 완료,65명
229,세상에 꼭 하나뿐인 얼굴 도장,"3,528,000",504,배송 완료,76명
230,당신에게 들려줄 반려식물 이야기_Story 001. 그룹홈,"2,517,000",503,배송 완료,81명
231,"할 것 다 해본 대학생들이 알려주는, '대학생활백서'","1,510,000",503,"300,000",506명
232,[웹툰] 판타지 도시와 내부건물 13종,"5,031,000",503,배송 완료,49명
233,인공지능과 인간이 창조한 인류 <에덴>,"5,030,500",503,배송 완료,275명
234,가슴으로 낳은 아이들을 위한 ‘세상에서 가장 귀한 동화책’,"1,006,000",503,"200,000",35명
235,Stack Vase?! 취향대로 쌓는 오브제 화병,"2,512,000",502,배송 완료,85명
236,2021 굴리굴리 캘린더,"15,066,000",502,배송 완료,430명
237,책상 위의 작은 감동 '향기가 있는 다육이 카드',"5,021,600",502,배송 완료,132명
238,겨울이 오는 풍경 : 핀란드의 사계절을 담은 스카프,"1,004,000",501,"200,000",8명
239,라코 작가의 GL 웹툰 <온초점> 단행본 출간,"10,039,000",501,"2,000,000",334명
240,웹툰 스케치업 - 패션소품 모음,"2,509,000",501,배송 완료,130명
241,웹툰 배경 스케치업_중세 경기장(전투장) 3종 세트,"5,016,000",501,배송 완료,57명
242,지금까지 없었던 애프터눈 티 세트,"17,555,000",501,"3,500,000",350명
243,"당신이 누구인지 잊지 마세요; ""I am""","2,507,000",501,"500,000",40명
244,"20년간의 학대, 그리고 탈출 <그래도 나는 살아야겠어>","5,013,000",501,"1,000,000",235명
245,가죽라벨에 자신의 이름을 새겨 넣은 따뜻한 겨울 장갑,"3,007,800",501,배송 완료,118명
246,"나의 완벽한 3개월을 위해, 지금 당장 질문해야 할 것들","2,506,000",501,배송 완료,116명
247,스케치업_증기열차_일반열차/특급열차/플랫폼/외부&내부,"5,012,000",501,배송 완료,72명
248,스케치업웹툰배경 판타지 중세성광장,"5,011,000",501,"1,000,000",120명
249,무게만큼 맛있는 아메리칸 쿠키와 청포도청,"2,755,812",501,배송 완료,69명
250,자전거를 어드바이스! 자전거 여행플랫폼 'A:D BIKE',"10,020,000",501,"2,000,000",59명
251,가을을 위한 달달함! 달달버리 수제 초콜릿,"1,002,000",501,배송 완료,32명
252,헤이마 22화,"1,502,919",500,"300,000",34명
253,[헌책을 현(現)책으로] 청계천 헌책방 거리 살리기,"5,007,800",500,"1,000,000",288명
254,퍼스널컬러 맞춤 반팔티 - 티는 내게 잘 맞는 색이 최고다,"5,007,500",500,배송 완료,75명
255,《제인 오스틴과 19세기 여성 시집》여성주의 문학,"7,510,500",500,배송 완료,517명
256,한반도 평화의 봄~ NO WAR. YES PEACE! 뱃지,"4,004,000",500,배송 완료,252명
257,"TRPG 입문자를 위한 가이드북 ""모두같이, TRPG""","7,505,000",500,"1,500,000",613명
258,집사들을 위한 냥케어 서적 [탐냥생활],"2,501,000",500,"500,000",248명
