,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
532,판타지용 가문문장 만들기 소스 100종,"16,321,000",3264,"500,000",565명
533,"전국을 발로 뛰어 만들어낸 ""극한떡볶이""","16,219,200",3243,"500,000",687명
534,(투닥토닥) 스케치업 프로젝트 No.22 _ 복합쇼핑몰,"32,140,000",3214,"500,000",304명
535,하루 한 포로 스트레스 없는 다이어트: 투유투디 더블다운,"64,154,000",3207,"500,000","1,176명"
536,초콜릿 산지별로 즐기는 싱글오리진 아이스초코,"16,022,500",3204,"500,000",466명
537,"페미니즘 그 세번째, THE FUTURE IS FEMALE","9,596,500",3198,"500,000",445명
538,고양이 꼬부기&쵸비 모찌인형,"318,837,357",3188,"500,000","5,133명"
539,생초콜릿을 통째로 구웠다?? 핵꾸덕 트러플갸또,"3,188,200",3188,"500,000",125명
540,"'비트윈'의 두번째 캐릭터 쿠션, <메리>","95,462,624",3182,"500,000","1,999명"
541,[스케치업 웹툰] 사극 프로젝트 - 읍성편,"31,741,000",3174,"500,000",236명
542,아홉번 매혹되는 포근한 향기2(구미호가 품은 살냄새 향수),"15,799,000",3159,"500,000",288명
543,"모든 여성에게 어울리는, 가장 보통의 수트","31,575,000",3157,"500,000",141명
544,스냅툰X이해공간_19세기 런던#1 트라팔가 광장과 시내거리,"31,539,000",3153,"500,000",227명
545,"<멍이냥이 약 사용설명서> 강아지,고양이에게 꼭 필요한 약","6,304,000",3152,"500,000",252명
546,한국 뮤지컬의 기록 <더뮤지컬 아카이브:2000-2020>,"157,307,000",3146,"500,000","3,621명"
547,"기존에 없던 새로운 장르의 가방, 트렁크 백","31,374,000",3137,"500,000",101명
548,물 뜨러 가기 귀찮은 사람들을 위한 1L 빨대머그컵,"31,292,000",3129,"500,000",587명
549,주택가 + 공원 + 놀이터 우리동네 1.0 #스케치업 배경,"62,569,000",3128,"500,000",483명
550,스케치업 웹툰배경 경복궁 프로젝트 1탄,"31,280,000",3128,"500,000",256명
551,의사들이 직접 만든 구급함 [우리집 미니 응급실],"31,187,300",3118,"500,000",603명
552,"알렉스텀블러, 텀블러 장인의 걸작","93,519,000",3117,"500,000","2,182명"
553,"발끝에서 먼저 만나는 봄, 양말 패키지","15,465,800",3093,"500,000",675명
554,추억 소환 프로젝트 - 8090 거리 + 집,"15,434,000",3086,"500,000",204명
555,"[톤포투] 여성용 항균 드로즈, 그랑프리","30,811,000",3081,"500,000",586명
556,시간을 확 줄여주는 <구글 스프레드시트> 공략집과 강의,"15,376,800",3075,"500,000",801명
557,나의 초콜릿 이야기 I'm chocolate,"6,135,380",3067,"500,000",20명
558,손으로 그린듯 배경 업그레이드! 스케치업 만능 웹툰 스타일,"30,661,000",3066,"500,000",684명
559,[싱스테이] 마스코트 '싱숭이'의 단짝 친구를 찾습니다!,"30,589,270",3058,"500,000",711명
560,조선시대 민간에서 보던 알기 쉬운 사주 <조선점술서>,"45,797,500",3053,"500,000","2,620명"
561,"누군지 몰라서 더 기대될 거에요, 익명 우편 UNKNOWN","30,550,900",3055,"500,000","3,120명"
562,"문학의 숲을 그리다, 한국 근대 여성 문학가 잉크","30,487,500",3048,"500,000",547명
563,"물 먹은 별이, 반짝, 정지용 시인 잉크","30,433,400",3043,"500,000",529명
564,[꿀광-씨패드] 패드로 LED 같이 환한 얼굴 가져보세요!,"16,060,800",3212,"500,000",451명
565,"마법같은 이펙트의 매력, 'FX 드로잉 가이드북'","24,089,000",3011,"500,000","1,154명"
566,[DOOGY의 웹툰배경] 도심속의 달동네 3 SET,"30,101,000",3010,"500,000",220명
567,[앵콜] 캐리어? 백팩? 고민 끝! 캐리어와 백팩을 하나로,"29,942,000",2994,"500,000",189명
568,세상에 모든 길냥이가 행복해지길 '행복한 길냥이 뱃지',"29,854,055",2985,"500,000","1,829명"
569,귀여운건 크게 보자! 뱁새인형쿠션,"14,921,000",2984,"500,000",559명
570,너무 추워서 버선을 못 버선 수족냉증러를 위한 '수면버선',"14,849,800",2969,"500,000",349명
571,[유기견보호소] 모두 사지않고 입양하는 날이 올때까지,"14,849,000",2969,"500,000",787명
572,한국의 신神과 세계의 신이 모두 모였다. '다양하神' 3부,"89,080,222",2969,"500,000","2,899명"
